row_id,ticker/entity,memory_type,statement/text,status,confidence,source_id,source_type,source_title,source_published_at,created_at,updated_at,duplicate_cluster_id,fanout_cluster_size,classification,proposed_action,reason,certainty,risk_level,manual_review_required,original_store,proposed_destination_if_any,sample_review_label,entity_text_present_in_statement,review_note
7,AUA,catalyst,Increasing cash receipts suggest improving financial health and customer demand,active,0.76,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:43+00:00,2026-04-30T07:30:43+00:00,DATA_MISSING,DATA_MISSING,candidate_manual_review,manual_review,row has provenance but insufficient deterministic target/scope evidence for automated cleanup,low,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review,manual_review,no,sampled_for_operator_review
1224,COH,observed_fact,"{'date': '2026-05-01', 'description': '4DMEDICAL secures a new pharma contract, boosting its lung imaging platform adoption.'}",active,0.88,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:00+00:00,2026-05-04T16:12:00+00:00,fanout_0055,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target 4DMEDICAL, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review,manual_review,no,sampled_for_operator_review
1232,COH,observed_fact,"{'date': '2026-05-01', 'description': 'CSL faces renewed scrutiny as valuation gaps and growth expectations drive market debate.'}",active,0.89,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:00+00:00,2026-05-04T16:12:00+00:00,fanout_0056,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target CSL, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review,manual_review,no,sampled_for_operator_review
1216,COH,strategic_initiative,"{'date': '2026-05-01', 'description': 'LTR PHARMA highlights SPONTAN clinical progress, US expansion strategy, and funding strength.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:00+00:00,2026-05-04T16:12:00+00:00,fanout_0057,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target LTR PHARMA, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review,manual_review,no,sampled_for_operator_review
1248,COH,operating_context,"{'date': '2026-05-01', 'description': 'PARADIGM BIOPHARMACEUTICALS expands its share base to support development, improve liquidity, and strengthen funding flexibility.'}",active,0.86,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:02+00:00,2026-05-04T16:12:02+00:00,fanout_0058,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target PARADIGM BIOPHARMACEUTICALS, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review,manual_review,no,sampled_for_operator_review
1240,COH,strategic_initiative,"{'date': '2026-05-01', 'description': 'RESMED delivers strong quarterly growth supported by global demand, innovation, and digital health expansion.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:12:02+00:00,2026-05-04T16:12:02+00:00,fanout_0059,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review,manual_review,no,sampled_for_operator_review
1208,COH,operating_context,"{'date': '2026-05-03', 'description': '4DMEDICAL’s collaboration with GSK highlights the growing role of advanced imaging in respiratory research.'}",active,0.83,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:58+00:00,2026-05-04T16:11:58+00:00,fanout_0060,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review,manual_review,no,sampled_for_operator_review
1192,COH,observed_fact,"{'date': '2026-05-04', 'description': 'AROVELLA undergoes major board changes after shareholder action, with a strategic review underway.'}",active,0.88,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0061,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target AROVELLA, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review,manual_review,no,sampled_for_operator_review
1200,COH,management_guidance,"{'date': '2026-05-04', 'description': 'EZZ enters the wellness market with its MeTime range, targeting growing demand for functional supplements.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0062,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review,manual_review,no,sampled_for_operator_review
1184,COH,observed_fact,"{'date': '2026-05-04', 'description': 'Sonic Healthcare faces profit pressure despite revenue growth, highlighting margin pressure and debt considerations.'}",active,0.89,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0063,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review,manual_review,no,sampled_for_operator_review
